Seed,Shot,Score
0,010101000011,-0.7126471996307373
1,011001000111,2.3591086864471436
2,010100001101,1.0298428535461426
3,001110101001,1.8630120754241943
4,101001110101,-0.787354588508606
5,010010011000,-0.8884409070014954
6,010000111011,-0.7739139795303345
7,110110111111,-0.7994273900985718
8,011101101001,2.2354652881622314
9,101010010110,0.4771862030029297
10,001010010011,-0.6023790836334229
11,000101010000,0.2627429962158203
12,011011100011,-0.4565727710723877
13,101010011100,0.6285879611968994
14,101001000011,-0.4921185374259949
15,010000001010,1.3124909400939941
16,001011100001,-0.3036799430847168
17,001011100001,1.0243029594421387
18,000100101110,-0.9917780160903931
19,110100010110,1.5538160800933838
20,000010100110,2.103752851486206
21,011101000010,-0.646484375
22,001001000100,-0.7249941825866699
23,111010000101,-0.5213452577590942
24,001001111100,0.24268901348114014
25,101001000000,-0.5860644578933716
26,110011110111,1.8204851150512695
27,000111100111,1.4619269371032715
28,011001111110,-0.9480775594711304
29,000011101110,-0.8488265872001648
30,100001101001,0.1206514835357666
31,001111010011,3.563922882080078
32,001011001000,1.4191811084747314
33,111001110010,-0.0016279220581054688
34,001111111101,0.8545713424682617
35,101000010110,2.0894179344177246
36,001110101001,3.1634817123413086
37,100000001111,0.09937834739685059
38,100110101000,-0.5205597877502441
39,010011011000,-0.4109043478965759
40,000011100010,-0.8957139849662781
41,111010011000,2.526285409927368
42,011000011100,2.1197800636291504
43,010000100010,1.0906918048858643
44,100010101111,0.039084434509277344
45,011110010001,0.7559264898300171
46,001001010110,0.08582675457000732
47,010011011001,-0.6477968692779541
48,011111111001,-0.9441624283790588
49,011101010011,0.14655601978302002
50,011111001110,0.6816748380661011
51,100011011101,-0.3957577347755432
52,110001010111,-0.3878660798072815
53,001101101110,-0.8823894262313843
54,111111011111,0.17126798629760742
55,010110111101,-0.7807777523994446
56,010001110001,0.9714947938919067
57,011000111001,-0.31674104928970337
58,110110101000,-0.9415497779846191
59,010010010011,-0.839792013168335
60,110110010001,-0.5809141397476196
61,000111100011,-0.799651026725769
62,011100001100,-0.05191916227340698
63,010001001110,0.4247264862060547
64,110001100101,4.32448673248291
65,100110100100,5.508312225341797
66,000110110001,1.9310991764068604
67,010101100011,0.48574161529541016
68,100101010101,-0.865801215171814
69,000110011001,-0.6945765018463135
70,111001011000,0.5072696208953857
71,011110111111,-0.44208043813705444
72,000110110011,1.7825562953948975
73,000100111010,-0.7641489505767822
74,011010000101,0.022465109825134277
75,011000100001,0.1473708152770996
76,100110101011,1.821488618850708
77,000111101010,0.36442720890045166
78,110000111010,1.7759029865264893
79,001011111000,-0.9741166234016418
80,010000100000,0.9490054845809937
81,100111010011,1.188157320022583
82,111100111101,-0.5967416167259216
83,010110110101,-0.4761952757835388
84,000000111101,1.499223232269287
85,010110001001,-0.22033119201660156
86,111000011011,0.17312467098236084
87,111001100100,-0.13095378875732422
88,110001010111,-0.05069148540496826
89,110000001001,0.7305821180343628
90,010001110001,0.5346072912216187
91,010111001010,-0.6039788126945496
92,101000101111,-0.07902675867080688
93,110010101101,0.4616060256958008
94,111010100100,-0.579703688621521
95,001010010110,-0.1959971785545349
96,010101001010,5.285348892211914
97,110010000010,2.143132209777832
98,000000110010,1.208824634552002
99,001111100100,-0.23477494716644287
100,011010011010,0.2688678503036499
101,110010111011,1.8670892715454102
102,001101110000,3.095005512237549
103,101110001100,-0.9547756314277649
104,000110111011,0.3837698698043823
105,110100001001,1.4003019332885742
106,110100010111,1.1093358993530273
107,110100011101,-0.8767083883285522
108,100011000111,1.9603970050811768
109,000111011010,0.2686893939971924
110,010011011111,0.010563373565673828
111,000110010111,-0.7049751877784729
112,001010101001,0.597427248954773
113,000001100100,0.5672734975814819
114,110001000100,0.02963125705718994
115,110001110101,-0.08166980743408203
116,101001001100,-0.4508886933326721
117,011011100000,0.9173828363418579
118,001010101011,-0.7829082012176514
119,011100110001,-0.5367599725723267
120,111011101010,-0.0427209734916687
121,011100110111,1.29402756690979
122,000011011000,-0.7568293809890747
123,110110001101,0.55311119556427
124,011110110011,0.4293009042739868
125,000011000010,-0.07270300388336182
126,011010110010,2.386573314666748
127,011011010011,-0.7172832489013672
128,010101101111,1.8690431118011475
129,011111010100,-0.6782909631729126
130,000110001110,-0.1723417043685913
131,000001101110,0.7944979667663574
132,000101111101,-0.6248319149017334
133,101101010010,-0.31442534923553467
134,100110100100,1.4647066593170166
135,100011110100,-0.6245169639587402
136,010011101001,0.5714973211288452
137,111001011001,2.2806644439697266
138,001001000011,-0.9459768533706665
139,001100110110,0.4495500326156616
140,100101010010,0.30502426624298096
141,100110111110,-0.07599115371704102
142,011000001101,1.771169900894165
143,101110100001,-0.8798647522926331
144,111111010111,0.5981472730636597
